type,type_num,size_adv,size_out_pct,days_fm_last,mkt_cap,return_30d_num,return 30d,return 90d,name,code,director,date,shares,rec_date
SELL,-1,0.036690049,0.009330003,0,39672,-1,-0.01,-0.06,Kingboard Chemical Holdings Ltd.,148,Cheung Kwong Kwan,11/9/2017,"99,500",20170912
BUY,1,8.369695592,0.772754076,6,1398,-1,-0.1,-0.17,Ping An Securities Group (Holdings) Ltd.,231,Cui Xintong,11/9/2017,"146,012,269",20170915
BUY,1,0.160377979,0.01946713,3,1063,1,0.07,0.02,SinoMedia Holding Ltd.,623,Liu Jinlan,11/9/2017,"100,000",20170912
BUY,1,0.98756539,0.159450963,3,640,1,0.37,0.08,Asia Tele-Net And Technology Corporation Ltd.,679,LAM Kwok Hing,11/9/2017,"680,000",20170912
BUY,1,0.38176218,0.158259491,0,2469,-1,-0.02,-0.03,China Singyes Solar Technologies Holdings Ltd.,750,Liu Hongwei,11/9/2017,"1,320,000",20170915
BUY,1,0.095322774,0.049047858,3,241,-1,-0.11,-0.33,Amax International Holdings Ltd.,959,Ng Man Sun,11/9/2017,"400,000",20170914
BUY,1,0.129136111,0.032996584,3,22943,1,0.03,-0.01,Xinyi Solar Holdings Ltd.,968,Tung Ching Sai,11/9/2017,"2,450,000",20170913
BUY,1,0.047842489,0.032176947,0,643,-1,-0.09,-0.15,Chinlink International Holdings Ltd.,997,Li Weibin,11/9/2017,"220,000",20170914
SELL,-1,0.076390576,0.035977866,3,851,-1,-0.07,-0.42,Munsun Capital Group Ltd.,1194,Zhang Lirui,11/9/2017,"6,000,000",20170913
BUY,1,0.061548562,0.006379301,0,16469,1,0.03,-0.1,Powerlong Real Estate Holdings Ltd.,1238,Hoi Wa Fan,11/9/2017,"255,000",20170912
BUY,1,0.989104258,0.179435851,0,16834,1,0.12,0.26,Beijing Enterprises Clean Energy Group Ltd.,1250,Wang Ye,11/9/2017,"113,987,342",20170915
BUY,1,0.157903265,0.1145,27,880,1,0.18,-0.15,Tic Tac International Holdings Co. Ltd.,1470,Meng Guangyin,11/9/2017,"916,000",20170915
SELL,-1,1.802233688,1.578947368,3,714,1,0.03,0.56,Yuk Wing Group Holdings Ltd.,1536,Chan Kin Choi,11/9/2017,"6,000,000",20170912
SELL,-1,1.802233688,1.578947368,0,714,1,0.03,0.56,Yuk Wing Group Holdings Ltd.,1536,Chan Leung Choi,11/9/2017,"6,000,000",20170912
SELL,-1,1.802233688,1.578947368,0,714,1,0.03,0.56,Yuk Wing Group Holdings Ltd.,1536,Liang Ning,11/9/2017,"6,000,000",20170912
BUY,1,7.661118102,0.614741974,3,527,-1,-0.08,-0.18,Jolimark Holdings Ltd.,2028,Au Pak Yin,11/9/2017,"4,000,000",20170913
BUY,1,0.342235355,0.045949214,0,9593,1,0.03,0.01,China Shineway Pharmaceutical Group Ltd.,2877,LI Zhenjiang,11/9/2017,"380,000",20170914
BUY,1,0.087058266,0.010072809,3,343,1,0.36,0.81,China Health Group Inc.,8225,GUO XIA,11/9/2017,"100,000",20171106
BUY,1,0.191528186,0.02216018,0,343,1,0.36,0.81,China Health Group Inc.,8225,GUO XIA,11/9/2017,"220,000",20171106
BUY,1,0.712067165,0.155523011,6,1096,1,0.05,0.34,Xinyi Automobile Glass Hong Kong Enterprises Ltd.,8328,Tung Ching Sai,11/9/2017,"840,000",20170912
SELL,-1,0.04682453,0.016029215,0,1104,-1,-0.42,-0.3,Larry Jewelry International Co. Ltd.,8351,Chan Wing Chung,11/9/2017,"580,000",20170913
SELL,-1,0.04682453,0.016029215,0,1104,-1,-0.42,-0.3,Larry Jewelry International Co. Ltd.,8351,Ong Chi King,11/9/2017,"580,000",20170914
BUY,1,0.20829341,0.183548477,0,1226,-1,-0.1,-0.2,Ban Loong Holdings Ltd.,30,CHOW WANG,12/9/2017,"10,000,000",20170913
SELL,-1,0.261808388,0.066575898,1,39672,-1,-0.02,-0.06,Kingboard Chemical Holdings Ltd.,148,Cheung Kwong Kwan,12/9/2017,"710,000",20170914
BUY,1,22.92874606,2.116956557,1,1398,-1,-0.08,-0.16,Ping An Securities Group (Holdings) Ltd.,231,Cui Xintong,12/9/2017,"400,000,000",20170918
BUY,1,3.369340742,0.544009169,1,640,1,0.29,0.06,Asia Tele-Net And Technology Corporation Ltd.,679,LAM Kwok Hing,12/9/2017,"2,320,000",20170913
BUY,1,0.353130016,0.146390029,1,2469,-1,-0.04,-0.03,China Singyes Solar Technologies Holdings Ltd.,750,Liu Hongwei,12/9/2017,"1,221,000",20170918
BUY,1,0.211334968,0.036368796,48,7078,1,0.01,-0.07,Digital China Holdings Ltd.,861,Guo Wei,12/9/2017,"610,000",20170918
SELL,-1,6.16447054,1.206152342,5,43875,1,0.03,0.23,China Medical System Holdings Ltd.,867,CHEN HONGBING,12/9/2017,"30,000,000",20170912
SELL,-1,12.32894108,2.412304684,0,43875,1,0.03,0.23,China Medical System Holdings Ltd.,867,LAM Kong,12/9/2017,"60,000,000",20170912
BUY,1,2.432805901,0.588095189,5,1309,1,0.21,-0.23,Qianhai Health Holdings Ltd.,911,Lu George,12/9/2017,"100,000,000",20170915
BUY,1,0.081421462,0.004096252,4,1294,-1,-0.04,-0.14,Dragon Crown Group Holdings Ltd.,935,Ng Wai Man,12/9/2017,"50,000",20170914
BUY,1,0.121536536,0.06253602,1,241,-1,-0.09,-0.34,Amax International Holdings Ltd.,959,Ng Man Sun,12/9/2017,"510,000",20170914
BUY,1,0.108732929,0.073129426,1,643,-1,-0.14,-0.19,Chinlink International Holdings Ltd.,997,Li Weibin,12/9/2017,"500,000",20170919
BUY,1,2.61664753,0.216683503,0,482,1,0.48,0.19,V.S. International Group Ltd.,1002,BEH CHERN WEI,12/9/2017,"5,000,000",20170913
BUY,1,0.184882895,0.015310076,0,482,1,0.48,0.19,V.S. International Group Ltd.,1002,DIONG TAI PEW,12/9/2017,"353,282",20170913
SELL,-1,0.660396528,0.311028655,1,851,-1,-0.09,-0.41,Munsun Capital Group Ltd.,1194,Zhang Lirui,12/9/2017,"51,870,000",20170913
BUY,1,0.853956124,0.088509678,1,16469,1,0.04,-0.1,Powerlong Real Estate Holdings Ltd.,1238,Hoi Wa Fan,12/9/2017,"3,538,000",20170913
BUY,1,1.201981899,0.21805451,1,16834,1,0.2,0.28,Beijing Enterprises Clean Energy Group Ltd.,1250,Hu Xiaoyong,12/9/2017,"138,520,000",20170915
BUY,1,0.011320045,0.000361954,4,7244,1,0.06,-0.01,China Shengmu Organic Milk Ltd.,1432,YAO Tongshan,12/9/2017,"23,000",20170915
BUY,1,0.345456489,0.2505,1,880,1,0.18,-0.16,Tic Tac International Holdings Co. Ltd.,1470,Meng Guangyin,12/9/2017,"2,004,000",20170915
SELL,-1,1.501861407,1.315789474,1,714,1,0.02,0.5,Yuk Wing Group Holdings Ltd.,1536,Chan Kin Choi,12/9/2017,"5,000,000",20170914
SELL,-1,1.501861407,1.315789474,0,714,1,0.02,0.5,Yuk Wing Group Holdings Ltd.,1536,Chan Leung Choi,12/9/2017,"5,000,000",20170914
SELL,-1,1.501861407,1.315789474,0,714,1,0.02,0.5,Yuk Wing Group Holdings Ltd.,1536,Liang Ning,12/9/2017,"5,000,000",20170914
SELL,-1,26.47315424,13.39807229,0,529,-1,-0.05,0.04,Progressive Path Group Holdings Ltd.,1581,Wu Wing Hang,12/9/2017,"139,005,000",20170915
BUY,1,1.204828662,0.058,5,628,1,0.12,0.1,China Leon Inspection Holding Ltd.,1586,LI Xiangli,12/9/2017,"232,000",20170913
BUY,1,1.204828662,0.058,0,628,1,0.12,0.1,China Leon Inspection Holding Ltd.,1586,ZHANG Aiying,12/9/2017,"232,000",20170913
BUY,1,0.574583858,0.046105648,1,527,-1,-0.11,-0.19,Jolimark Holdings Ltd.,2028,Au Pak Yin,12/9/2017,"300,000",20170914
BUY,1,0.036024774,0.004836759,1,9593,1,0.06,0.02,China Shineway Pharmaceutical Group Ltd.,2877,LI Zhenjiang,12/9/2017,"40,000",20170914
BUY,1,2.655631086,0.695929959,4,1861,1,0.42,-0.37,Huabang Financial Holdings Ltd.,3638,Lu George,12/9/2017,"28,460,000",20170914
SELL,-1,0.591390057,0.073692713,5,4651,1,0.21,-0.05,Top Spring International Holdings Ltd.,3688,Wu Sizong,12/9/2017,"1,020,000",20170915
BUY,1,0.127642161,0.010501792,4,1590,-1,-0.06,-0.33,Neo Telemedia Ltd.,8167,LIE HAIQUAN,12/9/2017,"1,000,000",20170918
BUY,1,0.05223496,0.006043686,1,343,1,0.2,0.58,China Health Group Inc.,8225,GUO XIA,12/9/2017,"60,000",20171106
SELL,-1,0.080731948,0.027636578,1,1104,-1,-0.37,-0.27,Larry Jewelry International Co. Ltd.,8351,Tso Ping Cheong Brian,12/9/2017,"1,000,000",20170913
SELL,-1,0.037136696,0.012712826,0,1104,-1,-0.37,-0.27,Larry Jewelry International Co. Ltd.,8351,Ong Chi King,12/9/2017,"460,000",20170914
SELL,-1,0.005111145,0.000688897,15,1496940,1,0.03,0.05,HSBC Holdings plc,5,Gulliver Stuart Thomson,13/9/2017,"138,143",20170918
BUY,1,0.392861732,0.021100385,2,2773,1,0.06,0.08,Hoifu Energy Group Ltd.,7,Hui Chi Ming,13/9/2017,"532,000",20170929
BUY,1,0.051692333,0.002776366,0,2773,1,0.06,0.08,Hoifu Energy Group Ltd.,7,Hui Chi Ming,13/9/2017,"70,000",20170929
BUY,1,0.051692333,0.002776366,0,2773,1,0.06,0.08,Hoifu Energy Group Ltd.,7,Hui Chi Ming,13/9/2017,"70,000",20180102
BUY,1,0.041658682,0.036709695,1,1226,-1,-0.09,-0.2,Ban Loong Holdings Ltd.,30,CHOW WANG,13/9/2017,"2,000,000",20170914
BUY,1,0.215044103,0.046570805,2,2802,1,0.12,-0.05,Get Nice Holdings Ltd.,64,Hung Hon Man,13/9/2017,"4,500,000",20170913
SELL,-1,0.325416764,0.082751029,1,39672,-1,-0.01,-0.08,Kingboard Chemical Holdings Ltd.,148,Cheung Kwong Kwan,13/9/2017,"882,500",20170918
BUY,1,0.005732187,0.000529239,1,1398,-1,-0.07,-0.16,Ping An Securities Group (Holdings) Ltd.,231,Cui Xintong,13/9/2017,"100,000",20170918
SELL,-1,19.70523163,1.229639224,0,878,1,0.06,0.15,Wong's Kong King International (Holdings) Ltd.,532,CHANG JUI SHUM VICTOR,13/9/2017,"9,000,000",20170915
SELL,-1,19.70523163,1.229639224,0,878,1,0.06,0.15,Wong's Kong King International (Holdings) Ltd.,532,WONG VINCI,13/9/2017,"9,000,000",20170915
BUY,1,0.22656887,0.019673208,0,1464,1,0.08,0,Tao Heung Holdings Ltd.,573,Chung Wai Ping,13/9/2017,"200,000",20170915
SELL,-1,0.000481968,6.90E-05,0,51784,1,0.04,0.04,Kerry Properties Ltd.,683,Gaw Bryan Pallop,13/9/2017,"1,000",20170914
SELL,-1,0.004337709,0.000621335,0,51784,1,0.04,0.04,Kerry Properties Ltd.,683,Gaw Bryan Pallop,13/9/2017,"9,000",20170915
BUY,1,0.355154512,0.147229284,1,2469,-1,-0.04,-0.04,China Singyes Solar Technologies Holdings Ltd.,750,Liu Hongwei,13/9/2017,"1,228,000",20170919
BUY,1,0.331882683,0.0188292,15,905,-1,-0.07,-0.13,Prosperity International Holdings (H.K.) Ltd.,803,Wong Ben Koon,13/9/2017,"2,400,000",20170919
BUY,1,0.135115799,0.023252181,1,7078,1,0.06,-0.07,Digital China Holdings Ltd.,861,Guo Wei,13/9/2017,"390,000",20170918
SELL,-1,0.073031509,0.325576707,0,2463,-1,-0.03,-0.12,RM Group Holdings Ltd.,932,CHAN YAN TAK,13/9/2017,"6,912,000",20170915
BUY,1,0.086986343,0.058503541,1,643,-1,-0.1,-0.19,Chinlink International Holdings Ltd.,997,Li Weibin,13/9/2017,"400,000",20170918
SELL,-1,0.032513923,0.010901302,0,94145,-1,-0.05,-0.1,Brilliance China Automotive Holdings Ltd.,1114,Ng Siu On,13/9/2017,"550,000",20170918
BUY,1,0.317156119,0.032872164,1,16469,1,0.02,-0.11,Powerlong Real Estate Holdings Ltd.,1238,Hoi Wa Fan,13/9/2017,"1,314,000",20170914
SELL,-1,0.018903636,0.008727251,0,15194,1,0.08,0.04,China Maple Leaf Educational Systems Ltd.,1317,Balloch Howard Robert,13/9/2017,"130,000",20170914
BUY,1,0.099686964,0.01494017,6,824,-1,-0.04,0,Vestate Group Holdings Ltd.,1386,Zhu Xiaojun,13/9/2017,"107,000",20170918
BUY,1,0.196870352,0.006294851,1,7244,1,0.05,0,China Shengmu Organic Milk Ltd.,1432,YAO Tongshan,13/9/2017,"400,000",20170918
BUY,1,0.000689534,0.0005,1,880,1,0.18,-0.13,Tic Tac International Holdings Co. Ltd.,1470,Meng Guangyin,13/9/2017,"4,000",20170915
BUY,1,1.142509939,0.055,1,628,1,0.13,0.07,China Leon Inspection Holding Ltd.,1586,LI Xiangli,13/9/2017,"220,000",20170914
BUY,1,1.142509939,0.055,0,628,1,0.13,0.07,China Leon Inspection Holding Ltd.,1586,ZHANG Aiying,13/9/2017,"220,000",20170918
SELL,-1,0.14013394,0.032456994,0,39930,-1,-0.1,-0.12,Kingboard Laminates Holdings Ltd.,1888,Cheung Kwok Wa,13/9/2017,"1,000,000",20170919
BUY,1,0.199661197,0.025001715,5,1728,-1,-0.04,-0.08,Meilleure Health International Industry Group Ltd.,2327,Zhou Wen Chuan,13/9/2017,"900,000",20170915
BUY,1,0.203814902,0.018425657,0,807,1,0.1,-0.05,Yuanda China Holdings Ltd.,2789,Kang Baohua,13/9/2017,"1,144,000",20170915
BUY,1,0.326924826,0.043893591,1,9593,1,0.05,0.02,China Shineway Pharmaceutical Group Ltd.,2877,LI Zhenjiang,13/9/2017,"363,000",20170915
BUY,1,0.494230447,0.04066294,1,1590,-1,-0.11,-0.33,Neo Telemedia Ltd.,8167,LIE HAIQUAN,13/9/2017,"3,872,000",20170918
SELL,-1,0.074873922,0.055114638,0,392,-1,-0.61,-0.69,First Credit Finance Group Ltd.,8215,Sin Kwok Lam,13/9/2017,"2,000,000",20170914
BUY,1,0.034823307,0.004029124,1,343,1,0.07,0.21,China Health Group Inc.,8225,GUO XIA,13/9/2017,"40,000",20171106
BUY,1,0.191528186,0.02216018,0,343,1,0.07,0.21,China Health Group Inc.,8225,GUO XIA,13/9/2017,"220,000",20171106
BUY,1,0.139293226,0.016116495,0,343,1,0.07,0.21,China Health Group Inc.,8225,GUO XIA,13/9/2017,"160,000",20171106
BUY,1,0.392861732,0.021100385,1,2773,1,0.06,0.07,Hoifu Energy Group Ltd.,7,Hui Chi Ming,14/9/2017,"532,000",20170929
BUY,1,0.392861732,0.021100385,0,2773,1,0.06,0.07,Hoifu Energy Group Ltd.,7,Hui Chi Ming,14/9/2017,"532,000",20180102
BUY,1,0.041658682,0.036709695,1,1226,-1,-0.03,-0.14,Ban Loong Holdings Ltd.,30,CHOW WANG,14/9/2017,"2,000,000",20170915
BUY,1,0.167256525,0.036221737,1,2802,1,0.14,-0.03,Get Nice Holdings Ltd.,64,Hung Hon Man,14/9/2017,"3,500,000",20170914
BUY,1,135.3373752,12.49537778,1,1398,-1,-0.08,-0.19,Ping An Securities Group (Holdings) Ltd.,231,Cui Xintong,14/9/2017,"2,361,007,879",20170918
BUY,1,0.378990239,0.038922226,10,2518,-1,-0.03,-0.06,Hopefluent Group Holdings Ltd.,733,Fu Wai Chung,14/9/2017,"260,000",20170915
BUY,1,0.277160614,0.047696782,1,7078,1,0.05,-0.08,Digital China Holdings Ltd.,861,Guo Wei,14/9/2017,"800,000",20170919
SELL,-1,0.046703307,0.001896921,0,7855,-1,-0.03,0.01,Ground International Development Ltd.,989,Wang Guanghui,14/9/2017,"100,000",20170915
BUY,1,0.108732929,0.073129426,1,643,-1,-0.1,-0.22,Chinlink International Holdings Ltd.,997,Li Weibin,14/9/2017,"500,000",20170919
BUY,1,0.337913673,0.035023615,1,16469,1,0.02,-0.11,Powerlong Real Estate Holdings Ltd.,1238,Hoi Wa Fan,14/9/2017,"1,400,000",20170919
SELL,-1,0.018903636,0.008727251,1,15194,1,0.06,0,China Maple Leaf Educational Systems Ltd.,1317,BALLOCH Howard Robert,14/9/2017,"130,000",20170918
BUY,1,0.235189168,0.027815804,6,1028,1,0.03,0.03,International Housewares Retail Co. Ltd.,1373,Ngai Lai Ha,14/9/2017,"200,000",20170920
BUY,1,2.227095857,0.0712105,1,7244,1,0.05,0.02,China Shengmu Organic Milk Ltd.,1432,YAO Tongshan,14/9/2017,"4,525,000",20170918
BUY,1,1.038645399,0.05,1,628,1,0.14,0.05,China Leon Inspection Holding Ltd.,1586,LI Xiangli,14/9/2017,"200,000",20170918
BUY,1,1.038645399,0.05,0,628,1,0.14,0.05,China Leon Inspection Holding Ltd.,1586,ZHANG Aiying,14/9/2017,"200,000",20170918
BUY,1,0.222634414,0.058839421,10,1344,1,0.32,0.42,Sunshine Oilsands Ltd.,2012,Sun Kwok Ping,14/9/2017,"3,500,000",20170915
BUY,1,0.004354456,0.001118568,69,37682,-1,-0.04,-0.11,Lee & Man Paper Manufacturing Ltd.,2314,Li King Wai Ross,14/9/2017,"50,000",20170928
BUY,1,0.280602214,0.054717227,14,1052,-1,-0.04,-0.08,Hop Fung Group Holdings Ltd.,2320,Hui Sum Ping,14/9/2017,"436,000",20170920
BUY,1,0.018528627,0.00167506,1,807,1,0.1,-0.08,Yuanda China Holdings Ltd.,2789,Kang Baohua,14/9/2017,"104,000",20170915
BUY,1,0.804253085,0.107980653,1,9593,1,0.05,0.03,China Shineway Pharmaceutical Group Ltd.,2877,LI Zhenjiang,14/9/2017,"893,000",20170915
BUY,1,0.178188457,0.014660502,1,1590,-1,-0.11,-0.3,Neo Telemedia Ltd.,8167,LIE HAIQUAN,14/9/2017,"1,396,000",20170920
SELL,-1,0.287515859,0.211640212,1,392,-1,-0.46,-0.56,First Credit Finance Group Ltd.,8215,Sin Kwok Lam,14/9/2017,"7,680,000",20170918
BUY,1,1.102008708,0.240690374,3,1096,1,0.03,0.3,Xinyi Automobile Glass Hong Kong Enterprises Ltd.,8328,Tung Ching Sai,14/9/2017,"1,300,000",20170918
SELL,-1,0.037136696,0.012712826,2,1104,-1,-0.35,-0.23,Larry Jewelry International Co. Ltd.,8351,Ong Chi King,14/9/2017,"460,000",20170919
BUY,1,0.391384808,0.02102106,1,2773,1,0.08,0.09,Hoifu Energy Group Ltd.,7,Hui Chi Ming,15/9/2017,"530,000",20170929
BUY,1,0.391384808,0.02102106,0,2773,1,0.08,0.09,Hoifu Energy Group Ltd.,7,Hui Chi Ming,15/9/2017,"530,000",20180102
BUY,1,0.041658682,0.036709695,1,1226,-1,-0.03,-0.15,Ban Loong Holdings Ltd.,30,CHOW WANG,15/9/2017,"2,000,000",20170919
BUY,1,0.143362735,0.031047204,1,2802,1,0.16,-0.02,Get Nice Holdings Ltd.,64,Hung Hon Man,15/9/2017,"3,000,000",20170918
BUY,1,4.183366456,0.386240269,1,1398,-1,-0.1,-0.2,Ping An Securities Group (Holdings) Ltd.,231,Cui Xintong,15/9/2017,"72,980,292",20170920
BUY,1,3.640165614,0.075289311,0,780,-1,-0.01,-0.08,New Century Group Hong Kong Ltd.,234,Ng Lilian,15/9/2017,"4,352,000",20170920
BUY,1,3.640165614,0.075289311,0,780,-1,-0.01,-0.08,New Century Group Hong Kong Ltd.,234,"Ng Siew Lang, Linda",15/9/2017,"4,352,000",20170920
BUY,1,3.640165614,0.075289311,0,780,-1,-0.01,-0.08,New Century Group Hong Kong Ltd.,234,Ng Wee Keat,15/9/2017,"4,352,000",20170920
BUY,1,3.640165614,0.075289311,0,780,-1,-0.01,-0.08,New Century Group Hong Kong Ltd.,234,Sio Ion Kuan,15/9/2017,"4,352,000",20170920
BUY,1,0.702589597,0.072155818,1,2518,-1,-0.06,-0.09,Hopefluent Group Holdings Ltd.,733,Fu Wai Chung,15/9/2017,"482,000",20170918
BUY,1,0.051967615,0.008943147,1,7078,1,0.07,-0.04,Digital China Holdings Ltd.,861,Guo Wei,15/9/2017,"150,000",20170920
BUY,1,0.179127217,0.009011755,3,1294,-1,-0.04,-0.15,Dragon Crown Group Holdings Ltd.,935,Ng Wai Man,15/9/2017,"110,000",20170918
BUY,1,0.087443383,0.006107313,7,6658,1,0.07,-0.01,China Oceanwide International Financial Ltd.,952,LAM Kin Hing Kenneth,15/9/2017,"380,000",20170919
SELL,-1,350.4972413,8.947279632,0,784,-1,-0.16,-0.3,China Shun Ke Long Holdings Ltd.,974,Lao Songsheng,15/9/2017,"25,988,000",20170915
SELL,-1,0.093406614,0.003793842,1,7855,-1,-0.03,0.01,Ground International Development Ltd.,989,Wang Guanghui,15/9/2017,"200,000",20170918
BUY,1,0.043493171,0.02925177,1,643,-1,-0.1,-0.23,Chinlink International Holdings Ltd.,997,Li Weibin,15/9/2017,"200,000",20170919
BUY,1,0.048273382,0.005003374,1,16469,-1,-0.01,-0.12,Powerlong Real Estate Holdings Ltd.,1238,Hoi Wa Fan,15/9/2017,"200,000",20170919
BUY,1,0.235189168,0.027815804,1,1028,1,0.03,0.05,International Housewares Retail Co. Ltd.,1373,Ngai Lai Ha,15/9/2017,"200,000",20170920
BUY,1,0.028960424,0.021,2,880,1,0.18,-0.17,Tic Tac International Holdings Co. Ltd.,1470,Meng Guangyin,15/9/2017,"168,000",20170920
BUY,1,1.038645399,0.05,1,628,1,0.12,0.01,China Leon Inspection Holding Ltd.,1586,LI Xiangli,15/9/2017,"200,000",20170918
BUY,1,1.038645399,0.05,0,628,1,0.12,0.01,China Leon Inspection Holding Ltd.,1586,ZHANG Aiying,15/9/2017,"200,000",20170918
BUY,1,0.036979759,0.003427652,15,32442,-1,-0.01,0.04,Champion Real Estate Investment Trust,2778,Lo Ka Shui,15/9/2017,"200,000",20170919
BUY,1,0.092923493,0.007645305,1,1590,-1,-0.07,-0.27,Neo Telemedia Ltd.,8167,LIE HAIQUAN,15/9/2017,"728,000",20170920
SELL,-1,0.93667276,0.689484127,1,392,-1,-0.26,-0.4,First Credit Finance Group Ltd.,8215,Sin Kwok Lam,15/9/2017,"25,020,000",20170918
BUY,1,0.191528186,0.02216018,2,343,1,0.11,0.2,China Health Group Inc.,8225,GUO XIA,15/9/2017,"220,000",20171106
BUY,1,0.121881573,0.014101933,0,343,1,0.11,0.2,China Health Group Inc.,8225,GUO XIA,15/9/2017,"140,000",20171106
BUY,1,0.069646613,0.008058247,0,343,1,0.11,0.2,China Health Group Inc.,8225,GUO XIA,15/9/2017,"80,000",20171106
SELL,-1,73.8461902,3.966237797,3,2773,1,0.06,0.07,Hoifu Energy Group Ltd.,7,Hui Chi Ming,18/9/2017,"100,000,000",20170929
BUY,1,0.162461618,0.008725723,0,2773,1,0.06,0.07,Hoifu Energy Group Ltd.,7,Hui Chi Ming,18/9/2017,"220,000",20170929
BUY,1,0.162461618,0.008725723,0,2773,1,0.06,0.07,Hoifu Energy Group Ltd.,7,Hui Chi Ming,18/9/2017,"220,000",20180102
SELL,-1,73.8461902,3.966237797,0,2773,1,0.06,0.07,Hoifu Energy Group Ltd.,7,Hui Chi Ming,18/9/2017,"100,000,000",20180102
SELL,-1,0.061282983,0.00273327,0,1531,-1,-0.09,-0.24,Vantage International (Holdings) Ltd.,15,FUNG Pui Cheung,18/9/2017,"46,000",20170920
BUY,1,0.129026462,0.027942483,3,2802,1,0.14,-0.03,Get Nice Holdings Ltd.,64,Hung Hon Man,18/9/2017,"2,700,000",20170918
BUY,1,0.403209165,0.037227343,3,1398,-1,-0.13,-0.17,Ping An Securities Group (Holdings) Ltd.,231,Cui Xintong,18/9/2017,"7,034,125",20170920
SELL,-1,1872.71178,27.62417585,0,3417,-1,-0.03,-0.19,China Medical & HealthCare Group Ltd.,383,Chong Sok Un,18/9/2017,"4,000,000,000",20170919
BUY,1,0.220940983,0.007282708,12,2759,1,0.03,0.08,China Financial Services Holdings Ltd.,605,CHEUNG SIU LAM,18/9/2017,"314,000",20170919
BUY,1,1.583009228,0.255590515,6,640,1,0.19,0.06,Asia Tele-Net And Technology Corporation Ltd.,679,LAM Kwok Hing,18/9/2017,"1,090,000",20170919
BUY,1,0.214107862,0.054722199,62,1155,1,0.01,-0.04,Sino Oil and Gas Holdings Ltd.,702,Dai Xiaobing,18/9/2017,"10,900,000",20170920
BUY,1,0.021746586,0.014625885,3,643,-1,-0.09,-0.2,Chinlink International Holdings Ltd.,997,Li Weibin,18/9/2017,"100,000",20170920
BUY,1,1.270314042,0.131663774,3,16469,-1,-0.05,-0.15,Powerlong Real Estate Holdings Ltd.,1238,Hoi Wa Fan,18/9/2017,"5,263,000",20170919
BUY,1,0.5185295,0.376,3,880,1,0.18,-0.17,Tic Tac International Holdings Co. Ltd.,1470,Meng Guangyin,18/9/2017,"3,008,000",20170920
SELL,-1,115.2473973,44.69783352,0,3841,-1,-0.04,-0.04,LEAP Holdings Group Ltd.,1499,Chan Wing Chung,18/9/2017,"2,352,000,000",20170922
SELL,-1,115.2473973,44.69783352,0,3841,-1,-0.04,-0.04,LEAP Holdings Group Ltd.,1499,Ip Ying Chau,18/9/2017,"2,352,000,000",20170922
SELL,-1,3.018140684,2.644210526,6,714,1,0.06,0.48,Yuk Wing Group Holdings Ltd.,1536,Chan Kin Choi,18/9/2017,"10,048,000",20170919
SELL,-1,3.018140684,2.644210526,0,714,1,0.06,0.48,Yuk Wing Group Holdings Ltd.,1536,Chan Leung Choi,18/9/2017,"10,048,000",20170919
SELL,-1,3.018140684,2.644210526,0,714,1,0.06,0.48,Yuk Wing Group Holdings Ltd.,1536,Liang Ning,18/9/2017,"10,048,000",20170919
BUY,1,1.557968098,0.075,3,628,1,0.1,0.03,China Leon Inspection Holding Ltd.,1586,LI Xiangli,18/9/2017,"300,000",20170919
BUY,1,1.557968098,0.075,0,628,1,0.1,0.03,China Leon Inspection Holding Ltd.,1586,ZHANG Aiying,18/9/2017,"300,000",20170919
SELL,-1,0.066292529,0.008456703,3,2680,-1,-0.02,0.3,SMIT Holdings Ltd.,2239,Shuai Hongyu,18/9/2017,"26,512",20170920
BUY,1,6.393354104,1.246699397,4,1052,-1,-0.06,-0.08,Hop Fung Group Holdings Ltd.,2320,Hui Sum Ping,18/9/2017,"9,934,000",20170920
SELL,-1,3.350463696,0.435689791,0,528,-1,-0.07,-0.21,Add New Energy Investment Holdings Group Ltd.,2623,Chau Ching,18/9/2017,"20,000,000",20170920
BUY,1,0.223946402,0.058686996,6,1861,1,0.56,-0.45,Huabang Financial Holdings Ltd.,3638,Lu George,18/9/2017,"2,400,000",20170919
BUY,1,0.399775248,0.032891614,3,1590,-1,-0.07,-0.26,Neo Telemedia Ltd.,8167,LIE HAIQUAN,18/9/2017,"3,132,000",20170922
SELL,-1,0.973360982,0.7164903,3,392,-1,-0.15,-0.25,First Credit Finance Group Ltd.,8215,Sin Kwok Lam,18/9/2017,"26,000,000",20170919
BUY,1,0.174116533,0.020145619,3,343,1,0.26,0.32,China Health Group Inc.,8225,GUO XIA,18/9/2017,"200,000",20171106
BUY,1,0.174116533,0.020145619,0,343,1,0.26,0.32,China Health Group Inc.,8225,GUO XIA,18/9/2017,"200,000",20171106
BUY,1,0.121881573,0.014101933,0,343,1,0.26,0.32,China Health Group Inc.,8225,GUO XIA,18/9/2017,"140,000",20171106
BUY,1,0.069646613,0.008058247,0,343,1,0.26,0.32,China Health Group Inc.,8225,GUO XIA,18/9/2017,"80,000",20171106
BUY,1,0.1240616,0.006663279,1,2773,1,0.06,0.07,Hoifu Energy Group Ltd.,7,Hui Chi Ming,19/9/2017,"168,000",20170929
BUY,1,0.1240616,0.006663279,0,2773,1,0.06,0.07,Hoifu Energy Group Ltd.,7,Hui Chi Ming,19/9/2017,"168,000",20180102
